@_id,OrphaCode,Name/#text,DisorderType/Name/#text,DisorderGroup/Name/#text,DisorderGeneAssociationList/@_count,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/Name/#text,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/Symbol,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/SynonymList/@_count,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/GeneType/Name/#text,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/@_count,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/0/Source,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/0/Reference,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/1/Source,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/1/Reference,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/2/Source,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/3/Source,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/2/Reference,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/3/Reference,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/4/Reference,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/5/Reference,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/4/Source,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/5/Source,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/LocusList/@_count,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/LocusList/Locus/GeneLocus,DisorderGeneAssociationList/DisorderGeneAssociation/DisorderGeneAssociationType/Name/#text,DisorderGeneAssociationList/DisorderGeneAssociation/DisorderGeneAssociationStatus/Name/#text,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/SynonymList/Synonym/0/#text,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/SynonymList/Synonym/1/#text,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/SynonymList/Synonym/2/#text
20066,263516,Progressive myoclonic epilepsy type 3,Clinical subtype,Subtype of disorder,1,potassium channel tetramerization domain containing 7,KCTD7,3.0,gene with protein product,6.0,Reactome,Q96MP8,Ensembl,ENSG00000243335,Genatlas,HGNC,KCTD7,21957,611725,Q96MP8,OMIM,SwissProt,1.0,7q11.21,Disease-causing germline mutation(s) in,Assessed,CLN14,EPM3,FLJ32069
20061,263482,"Spondyloepiphyseal dysplasia, Maroteaux type",Disease,Disorder,1,transient receptor potential cation channel subfamily V member 4,TRPV4,7.0,gene with protein product,7.0,Ensembl,ENSG00000111199,Genatlas,TRPV4,HGNC,IUPHAR,18083,510,605427,Q9HBA0,OMIM,Reactome,1.0,12q24.11,Disease-causing germline mutation(s) in,Assessed,CMT2C,OTRPC4,TRP12
20063,263494,DPM3-CDG,Disease,Disorder,1,"dolichyl-phosphate mannosyltransferase subunit 3, regulatory",DPM3,4.0,gene with protein product,6.0,Ensembl,ENSG00000179085,Genatlas,DPM3,HGNC,OMIM,3007,605951,Q9P2X0,Q9P2X0,Reactome,SwissProt,1.0,1q22,Disease-causing germline mutation(s) in,Assessed,DPM synthase complex subunit,MGC125904,MGC125905
2713,1832,Lethal osteosclerotic bone dysplasia,Malformation syndrome,Disorder,1,FAM20C golgi associated secretory pathway kinase,FAM20C,6.0,gene with protein product,6.0,Ensembl,ENSG00000177706,Genatlas,FAM20C,HGNC,OMIM,22140,611061,Q8IXL6,Q8IXL6,SwissProt,Reactome,1.0,7p22.3,Disease-causing germline mutation(s) (loss of function) in,Assessed,DKFZp547D065,DMP4,G-CK
2715,3019,Ramon syndrome,Malformation syndrome,Disorder,1,engulfment and cell motility 2,ELMO2,5.0,gene with protein product,6.0,Reactome,Q96JJ3,Ensembl,ENSG00000062598,HGNC,OMIM,17233,606421,ELMO2,Q96JJ3,Genatlas,SwissProt,1.0,20q13.12,Disease-causing germline mutation(s) in,Assessed,CED-12,CED12,ELMO-2
20058,263463,CHST3-related skeletal dysplasia,Disease,Disorder,1,carbohydrate sulfotransferase 3,CHST3,3.0,gene with protein product,6.0,Ensembl,ENSG00000122863,Genatlas,CHST3,HGNC,OMIM,1971,603799,Q7LGC8,Q7LGC8,Reactome,SwissProt,1.0,10q22.1,Disease-causing germline mutation(s) in,Assessed,C6ST,C6ST1,chondroitin 6 sulfotransferase 1
20046,263347,MRCS syndrome,Disease,Disorder,1,bestrophin 1,BEST1,4.0,gene with protein product,6.0,Ensembl,ENSG00000167995,Genatlas,BEST1,HGNC,OMIM,12703,607854,O76090,O76090,Reactome,SwissProt,1.0,11q12.3,Disease-causing germline mutation(s) in,Assessed,BEST,BMD,Best disease
2777,3102,Richieri Costa-Pereira syndrome,Malformation syndrome,Disorder,1,eukaryotic translation initiation factor 4A3,EIF4A3,3.0,gene with protein product,6.0,Ensembl,ENSG00000141543,Genatlas,EIF4A3,HGNC,OMIM,18683,608546,P38919,P38919,Reactome,SwissProt,1.0,17q25.3,Disease-causing germline mutation(s) (loss of function) in,Assessed,EIF4AIII,Fal1,KIAA0111
2769,3086,Autosomal dominant vitreoretinochoroidopathy,Disease,Disorder,1,bestrophin 1,BEST1,4.0,gene with protein product,6.0,Ensembl,ENSG00000167995,Genatlas,BEST1,HGNC,OMIM,12703,607854,O76090,O76090,Reactome,SwissProt,1.0,11q12.3,Disease-causing germline mutation(s) in,Assessed,BEST,BMD,Best disease
2773,3097,Meacham syndrome,Malformation syndrome,Disorder,1,WT1 transcription factor,WT1,4.0,gene with protein product,6.0,Ensembl,ENSG00000184937,Genatlas,WT1,HGNC,OMIM,12796,607102,P19544,P19544,SwissProt,Reactome,1.0,11p13,Disease-causing germline mutation(s) in,Assessed,AWT1,NPHS4,WAGR
2752,3063,"X-linked intellectual disability, Snyder type",Disease,Disorder,1,spermine synthase,SMS,3.0,gene with protein product,6.0,Ensembl,ENSG00000102172,Genatlas,SMS,HGNC,OMIM,11123,300105,P52788,P52788,Reactome,SwissProt,1.0,Xp22.11,Disease-causing germline mutation(s) (loss of function) in,Assessed,MRSR,SPMSY,SpS
2614,2886,TARP syndrome,Malformation syndrome,Disorder,1,RNA binding motif protein 10,RBM10,6.0,gene with protein product,6.0,Ensembl,ENSG00000182872,Genatlas,RBM10,HGNC,OMIM,9896,300080,P98175,P98175,SwissProt,Reactome,1.0,Xp11.3,Disease-causing germline mutation(s) in,Assessed,DXS8237E,GPATC9,GPATCH9
20223,268920,Isolated megalencephaly,Clinical subtype,Subtype of disorder,1,TBC1 domain family member 7,TBC1D7,3.0,gene with protein product,6.0,Reactome,Q9P0N9,Ensembl,ENSG00000145979,Genatlas,HGNC,TBC1D7,21066,612655,Q9P0N9,OMIM,SwissProt,1.0,6p24.1,Disease-causing germline mutation(s) (loss of function) in,Assessed,FLJ32666,TS complex subunit 3,dJ257A7.3
20207,268823,Occipital encephalocele,Clinical subtype,Subtype of disorder,1,dishevelled binding antagonist of beta catenin 1,DACT1,5.0,gene with protein product,6.0,Ensembl,ENSG00000165617,Genatlas,DACT1,HGNC,OMIM,17748,607861,Q9NYF0,Q9NYF0,Reactome,SwissProt,1.0,14q23.1,Disease-causing germline mutation(s) in,Assessed,DAPPER,DAPPER1,FRODO
2570,2833,Stiff skin syndrome,Disease,Disorder,1,fibrillin 1,FBN1,5.0,gene with protein product,6.0,Ensembl,ENSG00000166147,Genatlas,FBN1,HGNC,OMIM,3603,134797,P35555,P35555,Reactome,SwissProt,1.0,15q21.1,Disease-causing germline mutation(s) in,Assessed,MASS,Marfan syndrome,OCTD
2571,2834,Wrinkly skin syndrome,Clinical subtype,Subtype of disorder,1,ATPase H+ transporting V0 subunit a2,ATP6V0A2,9.0,gene with protein product,6.0,Reactome,Q9Y487,SwissProt,Q9Y487,Ensembl,Genatlas,ENSG00000185344,ATP6V0A2,18481,611716,HGNC,OMIM,1.0,12q24.31,Disease-causing germline mutation(s) (loss of function) in,Assessed,ATP6N1D,ATP6a2,J6B7
2675,2969,Proteus-like syndrome,Disease,Disorder,1,phosphatase and tensin homolog,PTEN,4.0,gene with protein product,6.0,HGNC,9588,OMIM,601728,Reactome,SwissProt,P60484,P60484,ENSG00000171862,PTEN,Ensembl,Genatlas,1.0,10q23.31,Disease-causing germline mutation(s) in,Assessed,MMAC1,PTEN1,TEP1
2676,750,Pseudoachondroplasia,Disease,Disorder,1,cartilage oligomeric matrix protein,COMP,3.0,gene with protein product,6.0,Ensembl,ENSG00000105664,Genatlas,COMP,HGNC,OMIM,2227,600310,P49747,P49747,Reactome,SwissProt,1.0,19p13.11,Disease-causing germline mutation(s) in,Assessed,MED,THBS5,thrombospondin-5
20329,275786,Drug- or toxin-induced pulmonary arterial hypertension,Clinical group,Group of disorders,1,bone morphogenetic protein receptor type 2,BMPR2,4.0,gene with protein product,7.0,Ensembl,ENSG00000204217,Genatlas,BMPR2,HGNC,IUPHAR,1078,1794,600799,Q13873,OMIM,Reactome,1.0,2q33.1-q33.2,Major susceptibility factor in,Assessed,BMPR-II,BMPR3,BRK-3
2981,3363,Trichomegaly-retina pigmentary degeneration-dwarfism syndrome,Malformation syndrome,Disorder,1,patatin like phospholipase domain containing 6,PNPLA6,5.0,gene with protein product,6.0,Reactome,Q8IY17,Genatlas,PNPLA6,HGNC,OMIM,16268,603197,Q8IY17,ENSG00000032444,SwissProt,Ensembl,1.0,19p13.2,Disease-causing germline mutation(s) (loss of function) in,Assessed,NTE,SPG39,SWS
20348,276145,Malignant epithelial tumor of salivary glands,Disease,Disorder,1,protein kinase D1,PRKD1,3.0,gene with protein product,7.0,Ensembl,ENSG00000184304,Genatlas,PRKD1,HGNC,IUPHAR,9407,1489,605435,Q15139,OMIM,Reactome,1.0,14q12,Disease-causing somatic mutation(s) in,Assessed,PKC-mu,PKCM,PKD
3007,3412,VACTERL with hydrocephalus,Malformation syndrome,Disorder,1,FA complementation group B,FANCB,3.0,gene with protein product,6.0,Ensembl,ENSG00000181544,Genatlas,FANCB,HGNC,OMIM,3583,300515,Q8NB91,Q8NB91,Reactome,SwissProt,1.0,Xp22.2,Disease-causing germline mutation(s) (loss of function) in,Assessed,FAAP95,FAB,FLJ34064
20346,276066,Bile acid CoA ligase deficiency and defective amidation,Disease,Disorder,1,solute carrier family 27 member 5,SLC27A5,9.0,gene with protein product,6.0,OMIM,603314,SwissProt,Q9Y2P5,Genatlas,Ensembl,SLC27A5,ENSG00000083807,Q9Y2P5,10999,Reactome,HGNC,1.0,19q13.43,Candidate gene tested in,Not yet assessed,ACSB,ACSVL6,FACVL3
20315,275517,Autoimmune lymphoproliferative syndrome with recurrent viral infections,Disease,Disorder,1,caspase 8,CASP8,4.0,gene with protein product,7.0,Ensembl,ENSG00000064012,Genatlas,CASP8,HGNC,IUPHAR,1509,1624,601763,Q14790,OMIM,Reactome,1.0,2q33.1,Disease-causing germline mutation(s) in,Assessed,Casp-8,FLICE,MACH
2961,3338,Toriello-Carey syndrome,Malformation syndrome,Disorder,1,DEAD-box helicase 3 X-linked,DDX3X,3.0,gene with protein product,6.0,Ensembl,ENSG00000215301,Genatlas,DDX3X,HGNC,OMIM,2745,300160,O00571,O00571,SwissProt,Reactome,1.0,Xp11.4,Disease-causing germline mutation(s) (loss of function) in,Assessed,DBX,DDX14,HLP2
3053,3319,Congenital amegakaryocytic thrombocytopenia,Disease,Disorder,1,"MPL proto-oncogene, thrombopoietin receptor",MPL,3.0,gene with protein product,7.0,Ensembl,ENSG00000117400,Genatlas,MPL,HGNC,IUPHAR,7217,1722,159530,P40238,OMIM,Reactome,1.0,1p34.2,Disease-causing germline mutation(s) (loss of function) in,Assessed,CD110,THPOR,TPOR
3057,3243,Sweet syndrome,Disease,Disorder,1,"MEFV innate immuity regulator, pyrin",MEFV,3.0,gene with protein product,6.0,Ensembl,ENSG00000103313,Genatlas,MEFV,HGNC,OMIM,6998,608107,O15553,O15553,Reactome,SwissProt,1.0,16p13.3,Disease-causing germline mutation(s) in,Assessed,FMF,TRIM20,marenostrin
20233,268973,Isolated focal cortical dysplasia type Ia,Histopathological subtype,Subtype of disorder,1,solute carrier family 35 member A2,SLC35A2,5.0,gene with protein product,6.0,Ensembl,ENSG00000102100,Genatlas,SLC35A2,HGNC,OMIM,11022,314375,P78381,P78381,Reactome,SwissProt,1.0,Xp11.23,Disease-causing somatic mutation(s) in,Assessed,UGAT,UGT,UGT1
3035,3453,Autoimmune polyendocrinopathy type 1,Disease,Disorder,1,autoimmune regulator,AIRE,3.0,gene with protein product,6.0,Ensembl,ENSG00000160224,Genatlas,AIRE,HGNC,OMIM,360,607358,O43918,O43918,SwissProt,Reactome,1.0,21q22.3,Disease-causing germline mutation(s) (loss of function) in,Assessed,APS1,PGA1,autoimmune polyendocrinopathy candidiasis ectodermal dystrophy
20253,269510,Congenital non-communicating hydrocephalus,Clinical subtype,Subtype of disorder,1,coiled-coil domain containing 88C,CCDC88C,5.0,gene with protein product,6.0,HGNC,19967,OMIM,611204,Reactome,SwissProt,Q9P219,Q9P219,ENSG00000015133,CCDC88C,Ensembl,Genatlas,1.0,14q32.11-q32.12,Disease-causing germline mutation(s) in,Assessed,DAPLE,Dvl-associating protein with a high frequency of leucine residues,HkRP2
3037,3455,Wiedemann-Rautenstrauch syndrome,Malformation syndrome,Disorder,1,RNA polymerase III subunit A,POLR3A,3.0,gene with protein product,6.0,Ensembl,ENSG00000148606,Genatlas,POLR3A,HGNC,OMIM,30074,614258,O14802,O14802,Reactome,SwissProt,1.0,10q22.3,Disease-causing germline mutation(s) in,Assessed,RPC1,RPC155,hRPC155
20455,280333,Alpha-dystroglycan-related  limb-girdle muscular dystrophy R16,Disease,Disorder,1,dystroglycan 1,DAG1,7.0,gene with protein product,6.0,Ensembl,ENSG00000173402,Genatlas,DAG1,HGNC,OMIM,2666,128239,Q14118,Q14118,Reactome,SwissProt,1.0,3p21.31,Disease-causing germline mutation(s) in,Assessed,156DAG,A3a,AGRNR
20449,280293,Pelizaeus-Merzbacher-like disease due to AIMP1 mutation,Clinical subtype,Subtype of disorder,1,aminoacyl tRNA synthetase complex interacting multifunctional protein 1,AIMP1,5.0,gene with protein product,6.0,Ensembl,ENSG00000164022,Genatlas,AIMP1,HGNC,OMIM,10648,603605,Q12904,Q12904,Reactome,SwissProt,1.0,4q24,Disease-causing germline mutation(s) in,Assessed,ARS-interacting multifunctional protein 1,EMAP II,EMAP-2
20460,280365,Autosomal semi-dominant severe lipodystrophic laminopathy,Disease,Disorder,1,lamin A/C,LMNA,3.0,gene with protein product,6.0,Ensembl,ENSG00000160789,Genatlas,LMNA,HGNC,OMIM,6636,150330,P02545,P02545,Reactome,SwissProt,1.0,1q22,Disease-causing germline mutation(s) in,Assessed,HGPS,MADA,mandibuloacral dysplasia type A
2859,3193,Supravalvular aortic stenosis,Morphological anomaly,Disorder,1,elastin,ELN,6.0,gene with protein product,6.0,Ensembl,ENSG00000049540,Genatlas,ELN,HGNC,OMIM,3327,130160,P15502,P15502,Reactome,SwissProt,1.0,7q11.23,Disease-causing germline mutation(s) (loss of function) in,Assessed,SVAS,WBS,WS
20467,280397,Familial Alzheimer-like prion disease,Disease,Disorder,1,prion protein,PRNP,7.0,gene with protein product,6.0,Ensembl,ENSG00000171867,Genatlas,PRNP,HGNC,OMIM,9449,176640,P04156,P04156,Reactome,SwissProt,1.0,20p13,Disease-causing germline mutation(s) in,Assessed,AltPrP,CD230,Creutzfeldt-Jakob disease
20478,280586,"Chondrodysplasia with joint dislocations, gPAPP type",Malformation syndrome,Disorder,1,inositol monophosphatase domain containing 1,IMPAD1,4.0,gene with protein product,6.0,Reactome,Q9NX62,Ensembl,ENSG00000104331,Genatlas,HGNC,IMPAD1,26019,614010,Q9NX62,OMIM,SwissProt,1.0,8q12.1,Disease-causing germline mutation(s) in,Assessed,FLJ20421,IMPA3,gPAPP
20473,280558,Warsaw breakage syndrome,Malformation syndrome,Disorder,1,DEAD/H-box helicase 11,DDX11,5.0,gene with protein product,6.0,Ensembl,ENSG00000013573,Genatlas,DDX11,HGNC,OMIM,2736,601150,Q96FC9,Q96FC9,Reactome,SwissProt,1.0,12p11.21,Disease-causing germline mutation(s) in,Assessed,CHL1,CHL1-like helicase homolog (S. cerevisiae),CHLR1
2823,647,Nijmegen breakage syndrome,Malformation syndrome,Disorder,1,nibrin,NBN,3.0,gene with protein product,6.0,Ensembl,ENSG00000104320,Genatlas,NBN,HGNC,OMIM,7652,602667,O60934,O60934,Reactome,SwissProt,1.0,8q21.3,Disease-causing germline mutation(s) in,Assessed,AT-V1,AT-V2,ATV
20430,280133,Complement component 3 deficiency,Disease,Disorder,1,complement C3,C3,8.0,gene with protein product,6.0,Ensembl,ENSG00000125730,Genatlas,C3,HGNC,OMIM,1318,120700,P01024,P01024,Reactome,SwissProt,1.0,19p13.3,Disease-causing germline mutation(s) (loss of function) in,Assessed,ARMD9,C3a,C3a anaphylatoxin
2829,3163,SHORT syndrome,Malformation syndrome,Disorder,1,phosphoinositide-3-kinase regulatory subunit 1,PIK3R1,4.0,gene with protein product,6.0,Ensembl,ENSG00000145675,Genatlas,PIK3R1,HGNC,OMIM,8979,171833,P27986,P27986,Reactome,SwissProt,1.0,5q13.1,Disease-causing germline mutation(s) in,Assessed,GRB1,p85,p85-ALPHA
2826,1479,Atrial septal defect-atrioventricular conduction defects syndrome,Malformation syndrome,Disorder,1,NK2 homeobox 5,NKX2-5,4.0,gene with protein product,6.0,Reactome,P52952,SwissProt,P52952,Ensembl,Genatlas,ENSG00000183072,NKX2-5,2488,600584,HGNC,OMIM,1.0,5q34,Disease-causing germline mutation(s) in,Assessed,CSX1,NKX2.5,NKX4-1
20425,280071,ALG11-CDG,Disease,Disorder,1,"ALG11 alpha-1,2-mannosyltransferase",ALG11,3.0,gene with protein product,6.0,Ensembl,ENSG00000253710,Genatlas,ALG11,HGNC,OMIM,32456,613666,Q2TAA5,Q2TAA5,Reactome,SwissProt,1.0,13q14.3,Disease-causing germline mutation(s) in,Assessed,CDG1P,"GDP-Man:Man(3)GlcNAc(2)-PP-dolichol alpha-1,2-mannosyltransferase",KIAA0266
20433,280183,Methylmalonic aciduria due to transcobalamin receptor defect,Biological anomaly,Disorder,1,CD320 molecule,CD320,3.0,gene with protein product,6.0,Ensembl,ENSG00000167775,Genatlas,CD320,HGNC,OMIM,16692,606475,Q9NPF0,Q9NPF0,Reactome,SwissProt,1.0,19p13.2,Disease-causing germline mutation(s) in,Assessed,8D6,8D6 antigen,8D6A
20447,280282,Pelizaeus-Merzbacher-like disease due to GJC2 mutation,Clinical subtype,Subtype of disorder,1,gap junction protein gamma 2,GJC2,4.0,gene with protein product,6.0,Ensembl,ENSG00000198835,Genatlas,GJC2,HGNC,OMIM,17494,608803,Q5T442,Q5T442,Reactome,SwissProt,1.0,1q42.13,Disease-causing germline mutation(s) in,Assessed,CX46.6,CX47,SPG44
2842,1855,Spondyloenchondrodysplasia,Malformation syndrome,Disorder,1,"acid phosphatase 5, tartrate resistant",ACP5,4.0,gene with protein product,6.0,Ensembl,ENSG00000102575,Genatlas,ACP5,HGNC,OMIM,124,171640,P13686,P13686,Reactome,SwissProt,1.0,19p13.2,Disease-causing germline mutation(s) in,Assessed,HPAP,TRAP,human purple acid phosphatase
20385,276580,Autosomal dominant hyperinsulinism due to Kir6.2 deficiency,Disease,Disorder,1,potassium voltage-gated channel subfamily J member 11,KCNJ11,3.0,gene with protein product,7.0,Ensembl,ENSG00000187486,Genatlas,KCNJ11,HGNC,IUPHAR,6257,442,600937,Q14654,OMIM,Reactome,1.0,11p15.1,Disease-causing germline mutation(s) in,Assessed,ATP-sensitive inward rectifier potassium channel 11,BIR,Kir6.2
20384,276575,Autosomal dominant hyperinsulinism due to SUR1 deficiency,Disease,Disorder,1,ATP binding cassette subfamily C member 8,ABCC8,8.0,gene with protein product,7.0,Ensembl,ENSG00000006071,Genatlas,ABCC8,HGNC,IUPHAR,59,2594,600509,Q09428,OMIM,Reactome,1.0,11p15.1,Disease-causing germline mutation(s) in,Assessed,ABC36,HHF1,HI
20387,276598,Diazoxide-resistant focal hyperinsulinism due to SUR1 deficiency,Disease,Disorder,1,ATP binding cassette subfamily C member 8,ABCC8,8.0,gene with protein product,7.0,Ensembl,ENSG00000006071,Genatlas,ABCC8,HGNC,IUPHAR,59,2594,600509,Q09428,OMIM,Reactome,1.0,11p15.1,Disease-causing germline mutation(s) in,Assessed,ABC36,HHF1,HI
20388,276603,Diazoxide-resistant focal hyperinsulinism due to Kir6.2 deficiency,Disease,Disorder,1,potassium voltage-gated channel subfamily J member 11,KCNJ11,3.0,gene with protein product,7.0,Ensembl,ENSG00000187486,Genatlas,KCNJ11,HGNC,IUPHAR,6257,442,600937,Q14654,OMIM,Reactome,1.0,11p15.1,Disease-causing germline mutation(s) in,Assessed,ATP-sensitive inward rectifier potassium channel 11,BIR,Kir6.2
20393,276630,Symptomatic form of Coffin-Lowry syndrome in female carriers,Malformation syndrome,Disorder,1,ribosomal protein S6 kinase A3,RPS6KA3,3.0,gene with protein product,7.0,HGNC,10432,IUPHAR,1528,OMIM,Reactome,300075,P51812,P51812,ENSG00000177189,SwissProt,Ensembl,1.0,Xp22.12,Disease-causing germline mutation(s) in,Assessed,HU-3,RSK,RSK2
2908,3253,Cleft lip/palate-ectodermal dysplasia syndrome,Malformation syndrome,Disorder,1,nectin cell adhesion molecule 1,NECTIN1,9.0,gene with protein product,6.0,Ensembl,ENSG00000110400,Genatlas,PVRL1,HGNC,OMIM,9706,600644,Q15223,Q15223,Reactome,SwissProt,1.0,11q23.3,Disease-causing germline mutation(s) in,Assessed,CD111,CLPED1,HIgR
20381,276435,Lower motor neuron syndrome with late-adult onset,Disease,Disorder,1,coiled-coil-helix-coiled-coil-helix domain containing 10,CHCHD10,3.0,gene with protein product,6.0,Reactome,Q8WYQ3,Ensembl,ENSG00000250479,Genatlas,HGNC,CHCHD10,15559,615903,Q8WYQ3,OMIM,SwissProt,1.0,22q11.23,Disease-causing germline mutation(s) in,Assessed,MIX17 homolog A,MIX17A,N27C7-4
3280,911,Combined immunodeficiency due to ZAP70 deficiency,Disease,Disorder,1,zeta chain of T-cell receptor associated protein kinase 70,ZAP70,3.0,gene with protein product,7.0,HGNC,12858,IUPHAR,2285,OMIM,Reactome,176947,P43403,P43403,ENSG00000115085,SwissProt,Ensembl,1.0,2q11.2,Disease-causing germline mutation(s) in,Assessed,STD,ZAP-70,tyrosine-protein kinase ZAP-70
3276,343,Hyperimmunoglobulinemia D with periodic fever,Disease,Disorder,1,mevalonate kinase,MVK,4.0,gene with protein product,7.0,Ensembl,ENSG00000110921,Genatlas,MVK,HGNC,IUPHAR,7530,640,251170,Q03426,OMIM,Reactome,1.0,12q24.11,Disease-causing germline mutation(s) in,Assessed,LH receptor mRNA-binding protein,LRBP,MK
3296,20,3-hydroxy-3-methylglutaric aciduria,Disease,Disorder,1,3-hydroxy-3-methylglutaryl-CoA lyase,HMGCL,3.0,gene with protein product,6.0,Ensembl,ENSG00000117305,Genatlas,HMGCL,HGNC,OMIM,5005,613898,P35914,P35914,Reactome,SwissProt,1.0,1p36.11,Disease-causing germline mutation(s) in,Assessed,HL,hydroxymethylglutaricaciduria,hydroxymethylglutaryl-CoA lyase
18519,206546,Symptomatic form of muscular dystrophy of Duchenne and Becker in female carriers,Disease,Disorder,1,dystrophin,DMD,11.0,gene with protein product,6.0,Ensembl,ENSG00000198947,Genatlas,DMD,HGNC,OMIM,2928,300377,P11532,P11532,Reactome,SwissProt,1.0,Xp21.2-p21.1,Disease-causing germline mutation(s) in,Assessed,BMD,DXS142,DXS164
18523,206564,POMGNT1-related  limb-girdle muscular dystrophy R15,Disease,Disorder,1,"protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)",POMGNT1,4.0,gene with protein product,6.0,Reactome,Q8WZA1,Ensembl,ENSG00000085998,Genatlas,HGNC,POMGNT1,19139,606822,Q8WZA1,OMIM,SwissProt,1.0,1p34.1,Disease-causing germline mutation(s) in,Assessed,FLJ20277,LGMD2O,MGAT1.2
18527,206580,Autosomal recessive lower motor neuron disease with childhood onset,Disease,Disorder,1,pleckstrin homology and RhoGEF domain containing G5,PLEKHG5,5.0,gene with protein product,6.0,Ensembl,ENSG00000171680,Genatlas,PLEKHG5,HGNC,OMIM,29105,611101,O94827,O94827,Reactome,SwissProt,1.0,1p36.31,Disease-causing germline mutation(s) in,Assessed,GEF720,KIAA0720,Syx
18531,206599,Isolated asymptomatic elevation of creatine phosphokinase,Biological anomaly,Disorder,1,caveolin 3,CAV3,5.0,gene with protein product,6.0,Ensembl,ENSG00000182533,Genatlas,CAV3,HGNC,OMIM,1529,601253,P56539,P56539,Reactome,SwissProt,1.0,3p25.3,Disease-causing germline mutation(s) in,Assessed,LGMD1C,LQT9,M-caveolin
18528,206583,Adult polyglucosan body disease,Clinical subtype,Subtype of disorder,1,"1,4-alpha-glucan branching enzyme 1",GBE1,3.0,gene with protein product,6.0,OMIM,607839,Reactome,Q04446,SwissProt,Ensembl,Q04446,ENSG00000114480,GBE1,4180,Genatlas,HGNC,1.0,3p12.2,Disease-causing germline mutation(s) in,Assessed,Andersen disease,glycogen branching enzyme,glycogen storage disease type IV
18608,208513,Spinocerebellar ataxia type 29,Disease,Disorder,1,"inositol 1,4,5-trisphosphate receptor type 1",ITPR1,5.0,gene with protein product,6.0,Ensembl,ENSG00000150995,Genatlas,ITPR1,HGNC,OMIM,6180,147265,Q14643,Q14643,Reactome,SwissProt,1.0,3p26.1,Disease-causing germline mutation(s) in,Assessed,ACV,IP3R1,Insp3r1
3183,3051,Intellectual disability-sparse hair-brachydactyly syndrome,Malformation syndrome,Disorder,1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2",SMARCA2,9.0,gene with protein product,7.0,Ensembl,ENSG00000080503,Genatlas,SMARCA2,HGNC,IUPHAR,11098,2739,600014,P51531,OMIM,Reactome,1.0,9p24.3,Disease-causing germline mutation(s) in,Assessed,BAF190,BRM,SNF2
18604,208441,Bilateral parasagittal parieto-occipital polymicrogyria,Clinical subtype,Subtype of disorder,1,FIG4 phosphoinositide 5-phosphatase,FIG4,5.0,gene with protein product,6.0,Ensembl,ENSG00000112367,Genatlas,FIG4,HGNC,OMIM,16873,609390,Q92562,Q92562,Reactome,SwissProt,1.0,6q21,Disease-causing germline mutation(s) (loss of function) in,Assessed,ALS11,CMT4J,SAC3
3169,1541,"Craniosynostosis, Boston type",Malformation syndrome,Disorder,1,msh homeobox 2,MSX2,6.0,gene with protein product,6.0,Reactome,P35548,Ensembl,ENSG00000120149,Genatlas,HGNC,MSX2,7392,123101,P35548,OMIM,SwissProt,1.0,5q35.2,Disease-causing germline mutation(s) in,Assessed,CRS2,FPP,HOX8
18654,209335,Autosomal dominant adult-onset proximal spinal muscular atrophy,Disease,Disorder,1,VAMP associated protein B and C,VAPB,3.0,gene with protein product,6.0,Ensembl,ENSG00000124164,Genatlas,VAPB,HGNC,OMIM,12649,605704,O95292,O95292,Reactome,SwissProt,1.0,20q13.32,Disease-causing germline mutation(s) in,Assessed,ALS8,VAP-B,VAP-C
